,Names,Profession,Height,Age,Nominated,Parents,Children,Picture,wikipedia_link
1166,Narendra Prasad, Profession Professor Author Actor Critic Playwright ,N\A, Age Dec. at 57 (1946-2003) ,N\A, Parents V. Raghava Kurup P. Janaki Amma , Children Prasad Divya Prasad Deepa ,https://imgix.ranker.com/node_img/83/1647389/original/narendra-prasad-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Narendra_Prasad
1167,Brinda Parekh, Profession Model Actor ,N\A, Age 34 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/509/10160588/original/brinda-parekh-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Brinda_Parekh
1168,Sarita Joshi, Profession Actor ,N\A, Age 77 , Nominated For Apsara Award for Best Actress in a Drama Series Indian Telly Award for Best Actress in a Lead Role , Parents Haribabu Joshi Jamnaben Thakkar , Children Ketki Dave Purbi Joshi ,N\A,https://en.wikipedia.org/wiki/Sarita_Joshi
1169,Shawar Ali,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1170,Nutan Prasad,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1171,Karthi, Profession Actor , Height 1.8 , Age 41 , Nominated For Vijay Award for Best Actor Filmfare Award for Best Actor – Tamil , Parents Sivakumar Lakshmi Sivakumar ,N\A,https://imgix.ranker.com/node_img/68/1351257/original/karthik-sivakumar-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Karthi
1172,Sonam, Profession Actor , Height 1.65 , Age 43 ,N\A, Parents Mushir Khan , Children Gaurav Rai ,https://imgix.ranker.com/user_node_img/103/2058707/original/sonam-people-in-film-photo-u3?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sonam_(actress)
1173,Vidyasagar, Profession Film Score Composer Record producer Musician Actor Singer Music Director ,N\A, Age 55 , Nominated For Filmfare Award for Best Music Director – Malayalam Filmfare Award for Best Music Director – Tamil Vijay Award for Best Music Director , Parents U. Ramachander ,N\A,https://imgix.ranker.com/user_node_img/117/2336802/original/vidyasagar-recording-artists-and-groups-photo-u2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Vidyasagar_(composer)
1174,Sameer Dharmadhikari, Profession Actor ,N\A, Age 40 , Nominated For Zee Cine Award for Best Male Debut ,N\A,N\A,https://imgix.ranker.com/node_img/3103/62057976/original/sameer-dharmadhikari-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,http://en.wikipedia.org/wiki/Sameer_Dharmadhikari
1175,The Great Khali, Profession Wrestler Actor , Height 2.16 , Age 43 ,N\A, Parents Tandi Devi Jwala Ram ,N\A,https://imgix.ranker.com/node_img/41/805964/original/dalip-singh-people-in-tv-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/The_Great_Khali
1176,Heera Rajgopal,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1177,Abbas Tyrewala, Profession Screenwriter Actor Writer Film Director ,N\A, Age 34 , Nominated For Filmfare Award for Best Lyricist Apsara Award for Best Screenplay Filmfare Award for Best Screenplay Apsara Award for Best Director Apsara Award for Best Dialogue Filmfare Award for Best Dialogue Apsara Award for Best Lyrics ,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Abbas_Tyrewala
1178,Manchu Manoj, Profession Actor , Height 1.83 , Age 35 ,N\A, Parents Mohan Babu ,N\A,https://imgix.ranker.com/node_img/615/12287678/original/manoj-manchu-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Manchu_Manoj
1179,Manikuttan,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1180,Dasari Narayana Rao, Profession Magazine editor Publisher Politician Journalist Film Producer Screenwriter Lyricist Actor Writer Film Director ,N\A, Age 74 ,N\A,N\A, Children Arun Kumar Dasari ,https://imgix.ranker.com/user_node_img/41/817729/original/dasari-narayana-rao-politicians-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Dasari_Narayana_Rao
1181,Joy Mukherjee,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1182,Ruskin Bond, Profession Poet Songwriter Author Actor Writer ,N\A, Age 84 , Nominated For Astrid Lindgren Memorial Award ,N\A,N\A,https://imgix.ranker.com/node_img/98/1950957/original/ruskin-bond-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Ruskin_Bond
1183,Asif Ali, Profession Actor , Height 1.68 , Age 33 ,N\A, Parents M.P. Shoukath Ali Molly Ali ,N\A,https://imgix.ranker.com/user_node_img/3107/62139518/original/asif-ali-all-people-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Asif_Ali
1184,Cukoo, Profession Actor Dancer ,N\A, Age Dec. at 53 (1928-1981) ,N\A,N\A,N\A,https://imgix.ranker.com/user_node_img/40/793888/original/cukoo-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Cuckoo_Moray
1185,Poornima Bhagyaraj, Profession Actor ,N\A, Age 56 ,N\A,N\A, Children Saranya Bhagyaraj Shanthanu Bhagyaraj ,https://imgix.ranker.com/user_node_img/598/11950654/original/poornima-jayaram-people-in-film-photo-u2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Poornima_Bhagyaraj
1186,Jawaharlal Nehru, Profession Politician Barrister Writer ," Height 5'10"" ", Age Dec. at 75 (1889-1964) ,N\A, Parents Swaruprani Thussu Motilal Nehru , Children Indira Gandhi ,https://imgix.ranker.com/node_img/64/1273402/original/jawaharlal-nehru-writers-photo-2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Jawaharlal_Nehru
1187,Sathyan, Profession Soldier Actor Teacher ,N\A, Age Dec. at 59 (1912-1971) ,N\A, Parents Cheruvilakathu Veettil Manuel Cheruvilakathu Veettil Lilly , Children Sathish Nadar Prakash Nadar Jeevan Nadar ,https://imgix.ranker.com/node_img/100/1981029/original/sathyaneshan-nadar-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sathyan_(actor)
1188,Rajesh,N\A,N\A, Age 83 ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Rajesh_(Kannada_actor)
1189,Yukta Mookhey, Profession Model Actor , Height 1.8 , Age 41 ,N\A, Parents Inderlal Mookhey Aruna Mookhey ,N\A,https://imgix.ranker.com/user_node_img/122/2433836/original/yukta-mookhey-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Yukta_Mookhey
1190,Ram Pothineni, Profession Actor , Height 1.77 , Age 30 , Nominated For Filmfare Award for Best Actor – Telugu ,N\A,N\A,https://imgix.ranker.com/node_img/94/1871586/original/ram-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Ram_Pothineni
1191,Arjun, Profession Actor ,N\A,N\A,N\A,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Arjun_(Firoz_Khan)
1192,Vaibhav Reddy, Profession Model Actor ,N\A, Age 39 ,N\A, Parents A. Kodandarami Reddy ,N\A,https://imgix.ranker.com/user_node_img/608/12157584/original/vaibhav-reddy-actors-film-actor-people-in-film-person-photo-u3?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Vaibhav_Reddy
1193,Arjun Mathur, Profession Actor , Height 1.78 , Age 37 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/1553/31058248/original/arjun-mathur-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Arjun_Mathur
1194,Isha Sharvani, Profession Actor Dancer ," Height 5'6"" ", Age 34 ,N\A, Parents Vissaro Daksha Seth ,N\A,https://imgix.ranker.com/user_node_img/62/1239440/original/isha-sharvani-people-in-tv-photo-u2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Isha_Sharvani
1195,Sumeet Saigal,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1196,Zubin Mehta, Profession Conductor Music Director Violinist ,N\A, Age 82 , Nominated For Grammy Award for Best Pop Instrumental Performance Primetime Emmy Award for Outstanding Music Direction Primetime Emmy Award for Outstanding Classical Program In The Performing Arts Primetime Emmy Award for Outstanding Classical Music-Dance Program Primetime Emmy Award for Outstanding Individual Achievement - Special Class Grammy Award for Album of the Year Grammy Award for Best Pop Vocal Album Daytime Emmy Award for Outstanding Individual Achievement in the Performing Arts - Performers , Parents Mehli Mehta Tehmina Mehta , Children Zarina Mehta Mervon Mehta ,https://imgix.ranker.com/node_img/123/2445067/original/zubin-mehta-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Zubin_Mehta
1197,Machan Varghese, Profession Actor ,N\A, Age Dec. at 51 (1960-2011) ,N\A,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Machan_Varghese
1198,Tapas Pal, Profession Politician Actor ,N\A, Age 60 ,N\A, Parents Ganash Pal , Children Sohini Paul ,https://imgix.ranker.com/node_img/108/2149205/original/tapas-pal-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Tapas_Paul
1199,Prem Prakash,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1200,Waris Hussein, Profession Television director Screenwriter Actor Film Director ,N\A, Age 81 , Nominated For British Academy Television Award for Best Single Drama British Academy Television Award for Drama Series or Serial Primetime Emmy Award for Outstanding Directing For A Variety Music Or Comedy Program , Parents Attia Hussein ,N\A,N\A,https://en.wikipedia.org/wiki/Waris_Hussein
1201,Kaveri, Profession Actor ,N\A,N\A,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Kaveri_(actress)
1202,Tirlok Malik,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1203,Kirti Reddy,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1204,Laboni Sarkar,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1205,Pearl Padamsee, Profession Theatre Director Theatrical producer Actor ,N\A, Age Dec. at 69 (1931-2000) ,N\A,N\A, Children Ranjit Chowdhry Raell Padamsee ,https://imgix.ranker.com/node_img/1661/33219856/original/pearl-padamsee-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Pearl_Padamsee
1206,Anandaraj, Profession Actor ,N\A,N\A,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Anandaraj
1207,Kottarakkara Sreedharan Nair, Profession Actor ,N\A, Age Dec. at 64 (1922-1986) ,N\A, Parents Ummini Amma Padinjattinkara Korattiyode Narayana Pillai , Children Saikumar Jaysree Laila Geetha Beena Kala Shaila Shobha Mohan ,https://imgix.ranker.com/node_img/70/1391370/original/kottarakkara-sreedharan-nair-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Kottarakkara_Sreedharan_Nair
1208,Raja Abel, Profession Actor ,N\A, Age 40 ,N\A,N\A,N\A,https://imgix.ranker.com/user_node_img/94/1868469/original/raja-photo-u4?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Raja_(name)
1209,Thomas Hill, Profession Theatre Director Actor ,N\A, Age Dec. at 82 (1927-2009) ,N\A,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Thomas_Hill_(actor)
1210,Anu Hassan,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1211,Vimala Raman, Profession Model Actor Dancer ,N\A, Age 37 ,N\A, Parents Pattabhi Raman Santha Raman ,N\A,https://imgix.ranker.com/node_img/117/2339955/original/vimala-raman-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Vimala_Raman
1212,Raja Babu, Profession Actor ,N\A, Age Dec. at 46 (1937-1983) ,N\A, Parents Punyamurthula Umamaheswara Rao Appala Raju , Children Nagendra Babu Mahesh Babu ,https://imgix.ranker.com/node_img/2178/43546240/original/raja-babu-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Raja_Babu_(actor)
1213,Aditya Chopra, Profession Television producer Entrepreneur Film Producer Screenwriter Lyricist Writer Film Director ,N\A, Age 47 , Nominated For Filmfare Award for Best Director , Parents Pamela Chopra Yash Chopra ,N\A,https://imgix.ranker.com/user_node_img/21/402039/original/aditya-chopra-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Aditya_Chopra
1214,Jai Akash, Profession Actor ,N\A,N\A,N\A,N\A,N\A,https://imgix.ranker.com/user_node_img/3109/62173196/original/jai-akash-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,http://en.wikipedia.org/wiki/Jai_Akash
1215,Devaraj,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1216,Mukkamala, Profession Actor Film Director ,N\A, Age Dec. at 67 (1920-1987) ,N\A,N\A, Children Seshamma Padmavathi Subba Rao Sita Rajya Lakshmi ,N\A,https://en.wikipedia.org/wiki/Mukkamala
1217,Sanjay Batra,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1218,Smita Hai,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1219,Rajasulochana, Profession Actor Dancer ,N\A, Age Dec. at 78 (1935-2013) ,N\A, Parents Bhakthavatsalam Naidu ,N\A,https://imgix.ranker.com/user_node_img/3172/63420434/original/rajasulochana-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,http://en.wikipedia.org/wiki/Rajasulochana
1220,Avinash Wadhawan,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1221,Raju Sundaram, Profession Choreographer Actor ,N\A, Age 50 , Nominated For Vijay Award for Best Choreographer Apsara Award for Best Choreography , Parents Mugur Sundar , Children Shobha Tharun H.Babu ,N\A,https://en.wikipedia.org/wiki/Raju_Sundaram
1222,Ajinkya Deo, Profession Actor ,N\A, Age 55 ,N\A, Parents Seema Deo Ramesh Deo ,N\A,N\A,http://en.wikipedia.org/wiki/Ajinkya_Dev
1223,Sudesh Berry, Profession Actor ,N\A, Age 58 , Nominated For Apsara Award for Best Actor in a Drama Series ,N\A, Children Suraj Berry ,N\A,http://en.wikipedia.org/wiki/Sudesh_Berry
1224,Shalini Kumar, Profession Actor ,N\A, Age 38 , Nominated For Filmfare Award for Best Actress – Tamil , Parents Sharaf Babu Alice Babu , Children Anoushka Kumar ,https://imgix.ranker.com/user_node_img/101/2011702/original/shalini-kumar-people-in-film-photo-u2?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Shalini
1225,Mona Ambegaonkar,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1226,Surya,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1227,Shanthi Krishna, Profession Actor Dancer ,N\A, Age 55 ,N\A, Parents R. Krishan Sharada , Children Mithul Mithali ,https://imgix.ranker.com/user_node_img/1682/33635710/original/shanthi-krishna-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Shanthi_Krishna
1228,Deven Bhojani, Profession Television director Actor ,N\A, Age 50 , Nominated For Indian Telly Jury Award for Best Actor in a Comic Role Indian Telly Award for Best Actor in a Comic Role Indian Telly Award for Best Actor in a Supporting Role Filmfare Award for Best Supporting Actor Apsara Award for Best Actor in a Drama Series ,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Deven_Bhojani
1229,Cheran, Profession Film Producer Screenwriter Actor Film Director ,N\A, Age 48 , Nominated For Vijay Award for Best Director , Parents Kamala Pandian , Children Damini ,https://imgix.ranker.com/node_img/3100/61989374/original/cheran-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Cheran_(director)
1230,Motilal, Profession Actor ,N\A, Age Dec. at 55 (1910-1965) , Nominated For Filmfare Award for Best Supporting Actor ,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Motilal_Rajvansh
1231,Mayuri Kango,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1232,K. P. Ummer, Profession Actor ,N\A, Age Dec. at 71 (1930-2001) ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/1630/32583600/original/k-p-ummer-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/K._P._Ummer
1233,Deepa Mehta, Profession Film Producer Screenwriter Actor Film Director ,N\A, Age 69 , Nominated For Academy of Canadian Cinema and Television Award for Best Achievement in Direction Genie Award for Best Original Screenplay Canadian Screen Award for Achievement in Direction Broadcast Film Critics Association Award for Best Foreign Language Film Academy Award for Best Foreign Language Film ,N\A, Children Devyani Saltzman ,https://imgix.ranker.com/node_img/42/834375/original/deepa-mehta-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Deepa_Mehta
1234,Parzan Dastur,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1235,Romesh Sharma, Profession Film Producer Actor Film Director ,N\A, Age 71 ,N\A,N\A, Children Karan Sharma ,N\A,http://en.wikipedia.org/wiki/Romesh_Sharma
1236,Madhur Bhandarkar, Profession Film Producer Screenwriter Actor Film Director ,N\A, Age 50 , Nominated For Filmfare Award for Best Director ,N\A, Children Siddhi ,https://imgix.ranker.com/node_img/75/1496420/original/madhur-bhandarkar-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Madhur_Bhandarkar
1237,Kanan Kaushal, Profession Actor ,N\A,N\A,N\A,N\A,N\A,https://imgix.ranker.com/user_node_img/1626/32504427/original/kanan-kaushal-people-in-film-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Kanan_Kaushal
1238,Milton Reid, Profession Wrestler Actor ,N\A, Age Dec. at 70 (1917-1987) ,N\A, Parents Edgar William Reid , Children Milton Reid Jr. ,https://imgix.ranker.com/user_node_img/80/1591068/original/milton-reid-photo-u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Milton_Reid
1239,Kishore,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1240,Aditya Roy Kapur, Profession VJ Actor ," Height 6'2"" ", Age 33 , Nominated For Filmfare Award for Best Supporting Actor Zee Cine Award for Best Actor Star Guild Award for Best Actor in a Supporting Role IIFA Award for Best Supporting Actor Zee Cine Award for Best Actor in a Supporting Role , Parents Salome Roy Kapur ,N\A,https://imgix.ranker.com/node_img/3101/62008463/original/aditya-roy-kapoor-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Aditya_Roy_Kapur
1241,Bindu Panicker, Profession Actor ,N\A, Age 50 , Nominated For Filmfare Award for Best Supporting Actress – Malayalam ,N\A,N\A,https://imgix.ranker.com/node_img/1562/31226748/original/bindu-panicker-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Bindu_Panicker
1242,Arya, Profession Actor , Height 1.75 , Age 35 , Nominated For Vijay Award for Best Actor Filmfare Award for Best Actor – Tamil ,N\A,N\A,https://imgix.ranker.com/node_img/25/499283/original/arya-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Arya_(actor)
1243,Sumeet Raghvan, Profession Actor ,N\A, Age 47 , Nominated For Indian Telly Award for Best Actor in a Comic Role ,N\A,N\A,N\A,http://en.wikipedia.org/wiki/Sumeet_Raghavan
1244,Waris Ahluwalia, Profession Actor Jewelry designer ,N\A, Age 45 ,N\A,N\A,N\A,https://imgix.ranker.com/user_node_img/119/2360128/original/u1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Waris_Ahluwalia
1245,Anna Carteret,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1246,Mohan Kapoor,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1247,Sithara, Profession Actor ,N\A, Age 45 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/1684/33673553/original/sithara-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Sithara_(actress)
1248,Makarand Anaspure, Profession Actor ,N\A, Age 45 ,N\A,N\A,N\A,https://imgix.ranker.com/node_img/3108/62146027/original/makarand-anaspure-people-in-film-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Makarand_Anaspure
1249,Rajlakshmi Devi,N\A,N\A,N\A,N\A,N\A,N\A,N\A,N\A
1250,Priya Anand, Profession Model Actor ," Height 5'4"" ", Age 32 , Nominated For Zee Cine Award for Best Actress in a Supporting Role Apsara Award for Best Actress in a Supporting Role , Parents Bharadwaj Anand Radha Anand ,N\A,https://imgix.ranker.com/user_node_img/1667/33335546/original/priya-anand-people-in-film-photo-u10?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Priya_Anand
1251,Mira Nair, Profession Film Producer Actor Writer Film Director Teacher ,N\A, Age 61 , Nominated For César Award for Best Film from the European Union Filmfare Award for Best Director Screen International Award British Independent Film Award for Best Foreign Independent Film - Foreign Language BAFTA Award for Best Foreign Language Film César Award for Best Foreign Film Gotham Independent Film Tribute Award Gotham Independent Film Award for Best Feature Film Independent Spirit Award for Best Feature Broadcast Film Critics Association Award for Best Foreign Language Film Academy Award for Best Foreign Language Film ,N\A, Children Zohran Mamdani ,https://imgix.ranker.com/node_img/80/1595721/original/mira-nair-writers-photo-1?w=333&h=333&fit=crop&crop=faces&q=50&fm=pjpg,https://en.wikipedia.org/wiki/Mira_Nair
1252,Mythili, Profession Actor ,N\A, Age 30 , Nominated For Filmfare Award for Best Supporting Actress – Malayalam ,N\A,N\A,N\A,https://en.wikipedia.org/wiki/Mythili
